order_id,order_date,sku,quantity_ordered,unit_price,customer_region,order_status,fulfillment_center,expected_ship_date,actual_ship_date,priority_flag,order_value,shipping_delay_days,is_high_priority,is_cancelled,is_returned,is_completed,is_shipping_delayed
ORD-500000,2024-01-01,SKU-10327,39,120.5,West,Completed,FC-06,2024-01-04,2024-01-06,Normal,4699.5,2.0,False,False,False,True,True
ORD-500001,2024-01-01,SKU-10114,21,27.62,West,Completed,FC-06,2024-01-04,2024-01-05,Normal,580.02,1.0,False,False,False,True,True
ORD-500002,2024-01-01,SKU-10279,11,71.59,Northeast,Completed,FC-01,2024-01-06,2024-01-08,High,787.49,2.0,True,False,False,True,True
ORD-500003,2024-01-01,SKU-10111,40,107.67,West,Completed,FC-05,2024-01-06,2024-01-06,Normal,4306.8,0.0,False,False,False,True,False
ORD-500004,2024-01-01,SKU-10332,24,125.7,Northeast,Cancelled,FC-02,2024-01-03,,Normal,3016.8,,False,True,False,False,False
ORD-500005,2024-01-01,SKU-10142,21,94.53,Midwest,Completed,FC-06,2024-01-03,2024-01-03,Normal,1985.13,0.0,False,False,False,True,False
ORD-500006,2024-01-01,SKU-10142,44,8.34,Midwest,Completed,FC-03,2024-01-04,2024-01-05,Normal,366.96,1.0,False,False,False,True,True
ORD-500007,2024-01-01,SKU-10194,42,11.77,South,Completed,FC-03,2024-01-05,2024-01-07,Normal,494.34,2.0,False,False,False,True,True
ORD-500008,2024-01-01,SKU-10413,15,71.13,Northeast,Completed,FC-05,2024-01-04,2024-01-06,Normal,1066.95,2.0,False,False,False,True,True
ORD-500009,2024-01-01,SKU-10472,3,129.69,West,Returned,FC-05,2024-01-06,,Normal,389.07,,False,False,True,False,False
ORD-500010,2024-01-01,SKU-10321,9,14.43,South,Cancelled,FC-05,2024-01-05,,Normal,129.87,,False,True,False,False,False
ORD-500011,2024-01-01,SKU-10035,25,145.02,Midwest,Completed,FC-03,2024-01-03,2024-01-03,Normal,3625.5,0.0,False,False,False,True,False
ORD-500012,2024-01-01,SKU-10437,9,7.32,West,Completed,FC-04,2024-01-03,2024-01-05,Normal,65.88,2.0,False,False,False,True,True
ORD-500013,2024-01-01,SKU-10325,28,68.82,Midwest,Completed,FC-03,2024-01-05,2024-01-04,Normal,1926.96,-1.0,False,False,False,True,False
ORD-500014,2024-01-01,SKU-10343,8,9.99,West,Completed,FC-05,2024-01-02,2024-01-04,Normal,79.92,2.0,False,False,False,True,True
ORD-500015,2024-01-01,SKU-10273,40,114.53,Midwest,Completed,FC-04,2024-01-03,2024-01-05,Normal,4581.2,2.0,False,False,False,True,True
ORD-500016,2024-01-01,SKU-10473,29,145.59,Midwest,Cancelled,FC-06,2024-01-03,,Normal,4222.11,,False,True,False,False,False
ORD-500017,2024-01-01,SKU-10393,44,141.23,Midwest,Completed,FC-01,2024-01-05,2024-01-05,Normal,6214.12,0.0,False,False,False,True,False
ORD-500018,2024-01-01,SKU-10205,31,138.67,West,Completed,FC-02,2024-01-05,2024-01-04,Normal,4298.77,-1.0,False,False,False,True,False
ORD-500019,2024-01-01,SKU-10290,40,127.46,Midwest,Completed,FC-06,2024-01-06,2024-01-06,Normal,5098.4,0.0,False,False,False,True,False
ORD-500020,2024-01-01,SKU-10452,47,125.17,Midwest,Returned,FC-03,2024-01-03,,Normal,5882.99,,False,False,True,False,False
ORD-500021,2024-01-01,SKU-10381,25,45.74,South,Cancelled,FC-06,2024-01-05,,Normal,1143.5,,False,True,False,False,False
ORD-500022,2024-01-01,SKU-10459,45,25.43,Northeast,Cancelled,FC-03,2024-01-06,,Normal,1144.35,,False,True,False,False,False
ORD-500023,2024-01-01,SKU-10070,1,7.27,Northeast,Cancelled,FC-01,2024-01-02,,Normal,7.27,,False,True,False,False,False
ORD-500024,2024-01-01,SKU-10440,24,62.26,Midwest,Completed,FC-06,2024-01-04,2024-01-05,Normal,1494.24,1.0,False,False,False,True,True
ORD-500025,2024-01-01,SKU-10348,17,108.14,West,Returned,FC-04,2024-01-04,,Normal,1838.38,,False,False,True,False,False
ORD-500026,2024-01-01,SKU-10239,33,92.86,South,Cancelled,FC-05,2024-01-03,,Normal,3064.38,,False,True,False,False,False
ORD-500027,2024-01-01,SKU-10005,39,99.41,South,Completed,FC-06,2024-01-05,2024-01-06,Normal,3876.99,1.0,False,False,False,True,True
ORD-500028,2024-01-01,SKU-10150,9,95.38,Midwest,Returned,FC-04,2024-01-03,,High,858.42,,True,False,True,False,False
ORD-500029,2024-01-01,SKU-10369,33,14.22,Midwest,Completed,FC-05,2024-01-06,2024-01-07,Normal,469.26,1.0,False,False,False,True,True
ORD-500030,2024-01-01,SKU-10445,44,97.45,Midwest,Completed,FC-02,2024-01-04,2024-01-05,Normal,4287.8,1.0,False,False,False,True,True
ORD-500031,2024-01-01,SKU-10082,1,60.52,West,Cancelled,FC-05,2024-01-04,,Normal,60.52,,False,True,False,False,False
ORD-500032,2024-01-01,SKU-10009,1,109.65,South,Completed,FC-03,2024-01-04,2024-01-03,Normal,109.65,-1.0,False,False,False,True,False
ORD-500033,2024-01-01,SKU-10123,15,66.99,West,Cancelled,FC-01,2024-01-03,,Normal,1004.85,,False,True,False,False,False
ORD-500034,2024-01-01,SKU-10417,13,34.25,Midwest,Completed,FC-02,2024-01-02,2024-01-04,Normal,445.25,2.0,False,False,False,True,True
ORD-500035,2024-01-01,SKU-10484,32,105.85,Midwest,Cancelled,FC-03,2024-01-06,,Normal,3387.2,,False,True,False,False,False
ORD-500036,2024-01-01,SKU-10310,23,92.64,Midwest,Returned,FC-05,2024-01-04,,Normal,2130.72,,False,False,True,False,False
ORD-500037,2024-01-01,SKU-10353,29,38.18,South,Completed,FC-04,2024-01-04,2024-01-05,Normal,1107.22,1.0,False,False,False,True,True
ORD-500038,2024-01-01,SKU-10332,22,132.67,Northeast,Completed,FC-05,2024-01-03,2024-01-02,Normal,2918.74,-1.0,False,False,False,True,False
ORD-500039,2024-01-01,SKU-10126,6,71.2,West,Completed,FC-03,2024-01-05,2024-01-07,High,427.2,2.0,True,False,False,True,True
ORD-500040,2024-01-01,SKU-10283,20,134.42,Midwest,Completed,FC-01,2024-01-04,2024-01-06,High,2688.4,2.0,True,False,False,True,True
ORD-500041,2024-01-01,SKU-10323,28,56.66,Midwest,Completed,FC-01,2024-01-02,2024-01-01,Normal,1586.48,-1.0,False,False,False,True,False
ORD-500042,2024-01-01,SKU-10440,27,66.93,West,Completed,FC-05,2024-01-05,2024-01-04,Normal,1807.11,-1.0,False,False,False,True,False
ORD-500043,2024-01-01,SKU-10342,41,49.19,Midwest,Returned,FC-05,2024-01-04,,Normal,2016.79,,False,False,True,False,False
ORD-500044,2024-01-01,SKU-10478,9,75.3,Northeast,Cancelled,FC-02,2024-01-02,,Normal,677.7,,False,True,False,False,False
