shipment_id,order_id,sku,supplier_id,shipment_date,expected_delivery_date,actual_delivery_date,shipment_status,carrier,quantity_shipped,shipping_cost,delay_reason,delivery_delay_days,is_delivered,is_delayed,is_lost,is_in_transit,delivered_on_time_flag
SHP-900000,ORD-502308,SKU-10277,SUP-240,2024-01-05,2024-01-11,2024-01-10,Delivered,DHL,25,7.86,,-1.0,True,False,False,False,True
SHP-900001,ORD-522404,SKU-10073,SUP-215,2024-01-26,2024-02-02,2024-02-01,Delivered,UPS,43,9.5,,-1.0,True,False,False,False,True
SHP-900002,ORD-523397,SKU-10177,SUP-243,2024-01-26,2024-02-04,2024-02-05,Delivered,USPS,10,7.11,,1.0,True,True,False,False,False
SHP-900003,ORD-525058,SKU-10493,SUP-205,2024-01-26,2024-02-01,2024-02-03,Delivered,UPS,28,13.34,,2.0,True,True,False,False,False
SHP-900004,ORD-502664,SKU-10231,SUP-201,2024-01-04,2024-01-11,2024-01-11,Delivered,FedEx,43,18.02,,0.0,True,False,False,False,True
SHP-900005,ORD-508511,SKU-10167,SUP-232,2024-01-10,2024-01-18,2024-01-18,Delivered,USPS,39,9.43,,0.0,True,False,False,False,True
SHP-900006,ORD-505148,SKU-10171,SUP-212,2024-01-06,2024-01-09,2024-01-11,Delivered,USPS,7,6.85,,2.0,True,True,False,False,False
SHP-900007,ORD-507790,SKU-10418,SUP-226,2024-01-08,2024-01-14,2024-01-13,Delivered,USPS,2,5.3,,-1.0,True,False,False,False,True
SHP-900008,ORD-511311,SKU-10239,SUP-217,2024-01-14,2024-01-23,2024-01-26,Delayed,FedEx,46,8.05,Weather Delay,3.0,False,True,False,False,False
SHP-900009,ORD-519043,SKU-10409,SUP-244,2024-01-23,2024-02-02,2024-02-03,Delivered,DHL,45,14.43,,1.0,True,True,False,False,False
SHP-900010,ORD-510784,SKU-10240,SUP-209,2024-01-13,2024-01-21,2024-01-22,Delivered,DHL,11,7.02,,1.0,True,True,False,False,False
SHP-900011,ORD-522246,SKU-10004,SUP-206,2024-01-26,2024-02-05,2024-02-04,Delivered,UPS,44,7.92,,-1.0,True,False,False,False,True
SHP-900012,ORD-503268,SKU-10165,SUP-222,2024-01-06,2024-01-15,2024-01-21,Delayed,DHL,4,5.83,Inventory Shortage,6.0,False,True,False,False,False
SHP-900013,ORD-515947,SKU-10320,SUP-202,2024-01-17,2024-01-23,2024-01-22,Delivered,USPS,8,8.1,,-1.0,True,False,False,False,True
SHP-900014,ORD-514977,SKU-10430,SUP-207,2024-01-16,2024-01-20,,In-Transit,FreightCo,20,8.13,,,False,False,False,True,False
SHP-900015,ORD-514474,SKU-10216,SUP-205,2024-01-15,2024-01-19,2024-01-21,Delivered,USPS,6,5.81,,2.0,True,True,False,False,False
SHP-900016,ORD-528694,SKU-10465,SUP-223,2024-02-01,2024-02-10,2024-02-12,Delivered,UPS,15,8.35,,2.0,True,True,False,False,False
SHP-900017,ORD-514054,SKU-10423,SUP-202,2024-01-17,2024-01-22,2024-01-22,Delivered,DHL,24,9.48,,0.0,True,False,False,False,True
SHP-900018,ORD-526545,SKU-10008,SUP-205,2024-01-28,2024-02-07,2024-02-12,Delayed,FreightCo,45,12.16,Weather Delay,5.0,False,True,False,False,False
SHP-900019,ORD-514980,SKU-10468,SUP-217,2024-01-16,2024-01-24,2024-01-24,Delivered,DHL,45,16.19,,0.0,True,False,False,False,True
SHP-900020,ORD-517636,SKU-10043,SUP-210,2024-01-18,2024-01-27,2024-01-27,Delivered,FedEx,27,13.68,,0.0,True,False,False,False,True
SHP-900021,ORD-503931,SKU-10418,SUP-242,2024-01-05,2024-01-09,2024-01-09,Delivered,UPS,5,6.87,,0.0,True,False,False,False,True
SHP-900022,ORD-508387,SKU-10452,SUP-238,2024-01-11,2024-01-21,2024-01-22,Delivered,USPS,49,8.97,,1.0,True,True,False,False,False
SHP-900023,ORD-508028,SKU-10031,SUP-246,2024-01-11,2024-01-17,2024-01-16,Delivered,FreightCo,41,20.84,,-1.0,True,False,False,False,True
SHP-900024,ORD-509482,SKU-10240,SUP-224,2024-01-10,2024-01-20,2024-01-19,Delivered,USPS,6,5.87,,-1.0,True,False,False,False,True
SHP-900025,ORD-522572,SKU-10193,SUP-214,2024-01-23,2024-02-02,2024-02-02,Delivered,UPS,21,13.14,,0.0,True,False,False,False,True
SHP-900026,ORD-515107,SKU-10228,SUP-214,2024-01-19,2024-01-25,2024-01-31,Delayed,FreightCo,13,6.29,Carrier Backlog,6.0,False,True,False,False,False
SHP-900027,ORD-503673,SKU-10276,SUP-217,2024-01-06,2024-01-13,2024-01-12,Delivered,USPS,13,5.72,,-1.0,True,False,False,False,True
SHP-900028,ORD-521388,SKU-10161,SUP-245,2024-01-22,2024-02-01,2024-01-31,Delivered,FreightCo,13,6.55,,-1.0,True,False,False,False,True
SHP-900029,ORD-505937,SKU-10045,SUP-225,2024-01-09,2024-01-18,2024-01-22,Delayed,FedEx,15,6.79,Address Issue,4.0,False,True,False,False,False
SHP-900030,ORD-527033,SKU-10098,SUP-216,2024-01-31,2024-02-05,2024-02-06,Delivered,USPS,33,15.56,,1.0,True,True,False,False,False
SHP-900031,ORD-529271,SKU-10036,SUP-234,2024-01-30,2024-02-03,2024-02-04,Delivered,USPS,16,9.45,,1.0,True,True,False,False,False
SHP-900032,ORD-521880,SKU-10111,SUP-227,2024-01-25,2024-02-03,2024-02-05,Delayed,DHL,22,10.9,Address Issue,2.0,False,True,False,False,False
SHP-900033,ORD-506508,SKU-10034,SUP-214,2024-01-08,2024-01-11,,Lost,USPS,5,5.36,Customs Hold,,False,False,True,False,False
SHP-900034,ORD-521457,SKU-10326,SUP-231,2024-01-24,2024-02-01,2024-02-03,Delivered,UPS,19,10.38,,2.0,True,True,False,False,False
SHP-900035,ORD-520071,SKU-10439,SUP-207,2024-01-24,2024-02-03,2024-02-03,Delivered,FedEx,39,19.06,,0.0,True,False,False,False,True
SHP-900036,ORD-527012,SKU-10233,SUP-243,2024-01-28,2024-02-02,2024-02-01,Delivered,UPS,34,18.26,,-1.0,True,False,False,False,True
SHP-900037,ORD-510092,SKU-10041,SUP-224,2024-01-13,2024-01-16,2024-01-15,Delivered,FreightCo,44,15.84,,-1.0,True,False,False,False,True
SHP-900038,ORD-522567,SKU-10237,SUP-233,2024-01-25,2024-02-02,2024-02-03,Delivered,USPS,32,7.05,,1.0,True,True,False,False,False
SHP-900039,ORD-512976,SKU-10225,SUP-200,2024-01-15,2024-01-24,2024-01-24,Delivered,UPS,24,6.41,,0.0,True,False,False,False,True
SHP-900040,ORD-503813,SKU-10133,SUP-243,2024-01-04,2024-01-09,2024-01-11,Delayed,DHL,12,6.92,Carrier Backlog,2.0,False,True,False,False,False
SHP-900041,ORD-507337,SKU-10299,SUP-207,2024-01-11,2024-01-17,2024-01-17,Delivered,FedEx,25,7.47,,0.0,True,False,False,False,True
SHP-900042,ORD-524483,SKU-10040,SUP-229,2024-01-27,2024-02-03,2024-02-04,Delivered,DHL,12,8.77,,1.0,True,True,False,False,False
SHP-900043,ORD-519592,SKU-10308,SUP-232,2024-01-23,2024-01-30,2024-02-03,Delayed,UPS,27,12.92,Inventory Shortage,4.0,False,True,False,False,False
SHP-900044,ORD-505121,SKU-10294,SUP-240,2024-01-09,2024-01-13,2024-01-13,Delivered,USPS,1,5.33,,0.0,True,False,False,False,True
SHP-900045,ORD-514905,SKU-10259,SUP-238,2024-01-15,2024-01-22,2024-01-22,Delivered,DHL,4,5.84,,0.0,True,False,False,False,True
SHP-900046,ORD-508223,SKU-10068,SUP-248,2024-01-12,2024-01-18,2024-01-20,Delivered,USPS,10,8.62,,2.0,True,True,False,False,False
SHP-900047,ORD-502868,SKU-10273,SUP-200,2024-01-05,2024-01-15,2024-01-15,Delivered,FreightCo,38,8.52,,0.0,True,False,False,False,True
SHP-900048,ORD-502342,SKU-10039,SUP-201,2024-01-03,2024-01-12,2024-01-12,Delivered,DHL,49,9.34,,0.0,True,False,False,False,True
SHP-900049,ORD-508832,SKU-10271,SUP-219,2024-01-09,2024-01-14,2024-01-14,Delivered,FedEx,19,5.95,,0.0,True,False,False,False,True
SHP-900050,ORD-507932,SKU-10435,SUP-236,2024-01-08,2024-01-11,,In-Transit,UPS,17,7.66,,,False,False,False,True,False
SHP-900051,ORD-516557,SKU-10453,SUP-246,2024-01-18,2024-01-28,2024-01-29,Delivered,UPS,12,7.35,,1.0,True,True,False,False,False
SHP-900052,ORD-520604,SKU-10242,SUP-248,2024-01-21,2024-01-24,2024-01-25,Delivered,FedEx,40,10.77,,1.0,True,True,False,False,False
SHP-900053,ORD-512983,SKU-10298,SUP-208,2024-01-16,2024-01-25,2024-01-26,Delivered,USPS,32,10.22,,1.0,True,True,False,False,False
SHP-900054,ORD-503014,SKU-10423,SUP-210,2024-01-07,2024-01-17,2024-01-16,Delivered,USPS,46,13.8,,-1.0,True,False,False,False,True
SHP-900055,ORD-527331,SKU-10344,SUP-227,2024-01-29,2024-02-01,,In-Transit,USPS,20,7.78,,,False,False,False,True,False
SHP-900056,ORD-512124,SKU-10286,SUP-248,2024-01-16,2024-01-24,2024-01-25,Delivered,FedEx,47,15.53,,1.0,True,True,False,False,False
SHP-900057,ORD-503752,SKU-10084,SUP-245,2024-01-04,2024-01-11,2024-01-10,Delivered,DHL,38,20.17,,-1.0,True,False,False,False,True
SHP-900058,ORD-527387,SKU-10321,SUP-228,2024-01-30,2024-02-02,2024-02-05,Delayed,UPS,25,10.65,Address Issue,3.0,False,True,False,False,False
SHP-900059,ORD-512335,SKU-10384,SUP-215,2024-01-14,2024-01-23,2024-01-22,Delivered,DHL,38,11.49,,-1.0,True,False,False,False,True
SHP-900060,ORD-511544,SKU-10158,SUP-201,2024-01-12,2024-01-17,2024-01-17,Delivered,FedEx,46,9.63,,0.0,True,False,False,False,True
SHP-900061,ORD-511356,SKU-10106,SUP-237,2024-01-15,2024-01-19,2024-01-21,Delivered,UPS,20,9.87,,2.0,True,True,False,False,False
SHP-900062,ORD-502676,SKU-10192,SUP-245,2024-01-05,2024-01-11,2024-01-12,Delivered,FedEx,43,18.61,,1.0,True,True,False,False,False
SHP-900063,ORD-528738,SKU-10396,SUP-204,2024-01-31,2024-02-03,,In-Transit,DHL,14,9.27,,,False,False,False,True,False
SHP-900064,ORD-529995,SKU-10173,SUP-204,2024-02-02,2024-02-09,2024-02-11,Delivered,DHL,44,22.34,,2.0,True,True,False,False,False
SHP-900065,ORD-520747,SKU-10209,SUP-242,2024-01-22,2024-01-27,2024-01-28,Delivered,USPS,7,5.57,,1.0,True,True,False,False,False
SHP-900066,ORD-513375,SKU-10297,SUP-208,2024-01-14,2024-01-17,2024-01-19,Delivered,USPS,11,7.51,,2.0,True,True,False,False,False
