date,sku,supplier_id,inventory_level,reorder_point,reorder_qty,on_order_qty,lead_time_days
2024-01-01,SKU-10000,SUP-240,936,306,1595,0,7
2024-01-01,SKU-10001,SUP-207,1607,666,1738,0,13
2024-01-01,SKU-10002,SUP-201,1485,572,1623,0,10
2024-01-01,SKU-10003,SUP-247,168,543,1937,1937,8
2024-01-01,SKU-10004,SUP-217,2503,360,959,0,12
2024-01-01,SKU-10005,SUP-215,23,760,974,974,13
2024-01-01,SKU-10006,SUP-214,2634,389,1457,0,5
2024-01-01,SKU-10007,SUP-208,1935,443,1331,0,11
2024-01-01,SKU-10008,SUP-247,716,366,1797,0,6
2024-01-01,SKU-10009,SUP-206,631,213,741,0,12
2024-01-01,SKU-10010,SUP-243,2825,764,1397,0,6
2024-01-01,SKU-10011,SUP-247,2119,654,1951,0,10
2024-01-01,SKU-10012,SUP-234,44,761,1911,1911,4
2024-01-01,SKU-10013,SUP-205,978,765,1629,0,6
2024-01-01,SKU-10014,SUP-237,1547,361,701,0,6
2024-01-01,SKU-10015,SUP-227,2313,470,955,0,9
2024-01-01,SKU-10016,SUP-202,1326,537,1378,0,7
2024-01-01,SKU-10017,SUP-201,758,692,1564,0,3
2024-01-01,SKU-10018,SUP-205,2571,328,1147,0,10
2024-01-01,SKU-10019,SUP-213,1172,591,918,0,3
2024-01-01,SKU-10020,SUP-214,464,689,730,730,12
2024-01-01,SKU-10021,SUP-232,2151,334,700,0,10
2024-01-01,SKU-10022,SUP-238,837,247,1002,0,9
2024-01-01,SKU-10023,SUP-201,1805,298,1183,0,10
2024-01-01,SKU-10024,SUP-235,2829,661,1142,0,3
2024-01-01,SKU-10025,SUP-212,1016,592,706,0,12
2024-01-01,SKU-10026,SUP-245,1512,440,1063,0,6
2024-01-01,SKU-10027,SUP-241,1819,235,1024,0,9
2024-01-01,SKU-10028,SUP-244,1727,777,1181,0,11
2024-01-01,SKU-10029,SUP-234,2756,227,1863,0,13
2024-01-01,SKU-10030,SUP-226,1662,672,1754,0,3
2024-01-01,SKU-10031,SUP-214,1378,482,1132,0,6
2024-01-01,SKU-10032,SUP-228,1060,558,1209,0,10
2024-01-01,SKU-10033,SUP-237,1388,517,1748,0,5
2024-01-01,SKU-10034,SUP-217,1289,573,1995,0,11
2024-01-01,SKU-10035,SUP-200,1165,696,941,0,6
2024-01-01,SKU-10036,SUP-248,1343,585,1910,0,3
2024-01-01,SKU-10037,SUP-210,1614,280,1198,0,3
2024-01-01,SKU-10038,SUP-244,0,419,1354,1354,7
2024-01-01,SKU-10039,SUP-227,1721,602,1653,0,7
2024-01-01,SKU-10040,SUP-221,1730,638,702,0,10
2024-01-01,SKU-10041,SUP-217,175,479,1383,1383,4
2024-01-01,SKU-10042,SUP-209,149,710,1251,1251,3
2024-01-01,SKU-10043,SUP-213,1168,663,1872,0,5
2024-01-01,SKU-10044,SUP-248,660,710,646,646,6
2024-01-01,SKU-10045,SUP-221,1773,688,1428,0,10
2024-01-01,SKU-10046,SUP-206,1715,537,1371,0,3
2024-01-01,SKU-10047,SUP-205,1851,462,643,0,12
2024-01-01,SKU-10048,SUP-224,654,201,1396,0,14
2024-01-01,SKU-10049,SUP-206,506,359,1514,0,11
2024-01-01,SKU-10050,SUP-222,1725,407,1654,0,6
2024-01-01,SKU-10051,SUP-222,2236,319,1127,0,13
2024-01-01,SKU-10052,SUP-238,1635,453,1750,0,11
2024-01-01,SKU-10053,SUP-216,96,537,1321,1321,5
2024-01-01,SKU-10054,SUP-202,979,597,1800,0,6
