order_id,order_date,sku,quantity_ordered,unit_price,customer_region,order_status,fulfillment_center,expected_ship_date,actual_ship_date,priority_flag
ORD-500000,2024-01-01,SKU-10327,39,120.5,West,Completed,FC-06,2024-01-04,2024-01-06,Normal
ORD-500001,2024-01-01,SKU-10114,21,27.62,West,Completed,FC-06,2024-01-04,2024-01-05,Normal
ORD-500002,2024-01-01,SKU-10279,11,71.59,Northeast,Completed,FC-01,2024-01-06,2024-01-08,High
ORD-500003,2024-01-01,SKU-10111,40,107.67,West,Completed,FC-05,2024-01-06,2024-01-06,Normal
ORD-500004,2024-01-01,SKU-10332,24,125.7,Northeast,Cancelled,FC-02,2024-01-03,,Normal
ORD-500005,2024-01-01,SKU-10142,21,94.53,Midwest,Completed,FC-06,2024-01-03,2024-01-03,Normal
ORD-500006,2024-01-01,SKU-10142,44,8.34,Midwest,Completed,FC-03,2024-01-04,2024-01-05,Normal
ORD-500007,2024-01-01,SKU-10194,42,11.77,South,Completed,FC-03,2024-01-05,2024-01-07,Normal
ORD-500008,2024-01-01,SKU-10413,15,71.13,Northeast,Completed,FC-05,2024-01-04,2024-01-06,Normal
ORD-500009,2024-01-01,SKU-10472,3,129.69,West,Returned,FC-05,2024-01-06,,Normal
ORD-500010,2024-01-01,SKU-10321,9,14.43,South,Cancelled,FC-05,2024-01-05,,Normal
ORD-500011,2024-01-01,SKU-10035,25,145.02,Midwest,Completed,FC-03,2024-01-03,2024-01-03,Normal
ORD-500012,2024-01-01,SKU-10437,9,7.32,West,Completed,FC-04,2024-01-03,2024-01-05,Normal
ORD-500013,2024-01-01,SKU-10325,28,68.82,Midwest,Completed,FC-03,2024-01-05,2024-01-04,Normal
ORD-500014,2024-01-01,SKU-10343,8,9.99,West,Completed,FC-05,2024-01-02,2024-01-04,Normal
ORD-500015,2024-01-01,SKU-10273,40,114.53,Midwest,Completed,FC-04,2024-01-03,2024-01-05,Normal
ORD-500016,2024-01-01,SKU-10473,29,145.59,Midwest,Cancelled,FC-06,2024-01-03,,Normal
ORD-500017,2024-01-01,SKU-10393,44,141.23,Midwest,Completed,FC-01,2024-01-05,2024-01-05,Normal
ORD-500018,2024-01-01,SKU-10205,31,138.67,West,Completed,FC-02,2024-01-05,2024-01-04,Normal
ORD-500019,2024-01-01,SKU-10290,40,127.46,Midwest,Completed,FC-06,2024-01-06,2024-01-06,Normal
ORD-500020,2024-01-01,SKU-10452,47,125.17,Midwest,Returned,FC-03,2024-01-03,,Normal
ORD-500021,2024-01-01,SKU-10381,25,45.74,South,Cancelled,FC-06,2024-01-05,,Normal
ORD-500022,2024-01-01,SKU-10459,45,25.43,Northeast,Cancelled,FC-03,2024-01-06,,Normal
ORD-500023,2024-01-01,SKU-10070,1,7.27,Northeast,Cancelled,FC-01,2024-01-02,,Normal
ORD-500024,2024-01-01,SKU-10440,24,62.26,Midwest,Completed,FC-06,2024-01-04,2024-01-05,Normal
ORD-500025,2024-01-01,SKU-10348,17,108.14,West,Returned,FC-04,2024-01-04,,Normal
ORD-500026,2024-01-01,SKU-10239,33,92.86,South,Cancelled,FC-05,2024-01-03,,Normal
ORD-500027,2024-01-01,SKU-10005,39,99.41,South,Completed,FC-06,2024-01-05,2024-01-06,Normal
ORD-500028,2024-01-01,SKU-10150,9,95.38,Midwest,Returned,FC-04,2024-01-03,,High
ORD-500029,2024-01-01,SKU-10369,33,14.22,Midwest,Completed,FC-05,2024-01-06,2024-01-07,Normal
ORD-500030,2024-01-01,SKU-10445,44,97.45,Midwest,Completed,FC-02,2024-01-04,2024-01-05,Normal
