supplier_id,supplier_name,region,reliability_score,avg_lead_time_days,supplier_rating,contact_email,phone_number,contract_expiration
SUP-200,SUP-200_Global_Products,Canada,76,8,Bronze,contact@sup-200.com,+1-470-306-6191,2025-05-07
SUP-201,SUP-201_Global_Products,USA,95,7,Gold,contact@sup-201.com,+1-414-530-6578,2025-04-08
SUP-202,SUP-202_Global_Products,USA,93,7,Gold,contact@sup-202.com,+1-861-508-1769,2026-06-02
SUP-203,SUP-203_Global_Products,Canada,97,9,Gold,contact@sup-203.com,+1-360-659-4385,2026-12-25
SUP-204,SUP-204_Global_Products,India,86,15,Silver,contact@sup-204.com,+1-258-710-8849,2027-03-12
SUP-205,SUP-205_Global_Products,China,92,8,Silver,contact@sup-205.com,+1-704-330-4556,2027-07-21
SUP-206,SUP-206_Global_Products,China,78,11,Bronze,contact@sup-206.com,+1-473-587-9792,2026-02-26
SUP-207,SUP-207_Global_Products,China,78,14,Bronze,contact@sup-207.com,+1-764-539-7235,2027-12-07
SUP-208,SUP-208_Global_Products,Canada,81,17,Bronze,contact@sup-208.com,+1-975-234-4152,2026-08-04
SUP-209,SUP-209_Global_Products,USA,71,18,Bronze,contact@sup-209.com,+1-589-765-4843,2026-02-26
SUP-210,SUP-210_Global_Products,Canada,81,6,Bronze,contact@sup-210.com,+1-401-469-8629,2027-12-25
SUP-211,SUP-211_Global_Products,Canada,99,12,Gold,contact@sup-211.com,+1-924-919-8916,2026-05-24
SUP-212,SUP-212_Global_Products,Germany,95,13,Gold,contact@sup-212.com,+1-963-387-9571,2025-09-15
SUP-213,SUP-213_Global_Products,USA,82,5,Bronze,contact@sup-213.com,+1-720-543-3027,2027-11-19
SUP-214,SUP-214_Global_Products,Germany,86,12,Silver,contact@sup-214.com,+1-874-618-6892,2026-07-26
SUP-215,SUP-215_Global_Products,Mexico,78,16,Bronze,contact@sup-215.com,+1-334-400-4104,2027-07-24
SUP-216,SUP-216_Global_Products,USA,74,7,Bronze,contact@sup-216.com,+1-883-925-9154,2027-01-03
SUP-217,SUP-217_Global_Products,USA,74,19,Bronze,contact@sup-217.com,+1-661-842-4840,2025-10-23
SUP-218,SUP-218_Global_Products,USA,100,18,Gold,contact@sup-218.com,+1-994-592-1206,2027-10-10
SUP-219,SUP-219_Global_Products,China,97,17,Gold,contact@sup-219.com,+1-890-774-1863,2027-01-20
SUP-220,SUP-220_Global_Products,China,98,8,Gold,contact@sup-220.com,+1-933-684-8574,2027-11-04
SUP-221,SUP-221_Global_Products,Germany,82,11,Bronze,contact@sup-221.com,+1-898-442-4157,2026-10-13
SUP-222,SUP-222_Global_Products,Germany,99,13,Gold,contact@sup-222.com,+1-845-995-4627,2026-11-26
SUP-223,SUP-223_Global_Products,USA,92,16,Silver,contact@sup-223.com,+1-672-430-8392,2025-09-27
SUP-224,SUP-224_Global_Products,Germany,99,13,Gold,contact@sup-224.com,+1-827-944-8526,2026-08-27
SUP-225,SUP-225_Global_Products,China,78,18,Bronze,contact@sup-225.com,+1-876-424-1663,2027-11-22
SUP-226,SUP-226_Global_Products,Canada,93,13,Gold,contact@sup-226.com,+1-891-312-2853,2025-10-20
SUP-227,SUP-227_Global_Products,Canada,81,18,Bronze,contact@sup-227.com,+1-585-586-8280,2025-01-24
SUP-228,SUP-228_Global_Products,Canada,86,15,Silver,contact@sup-228.com,+1-312-201-5737,2026-07-05
SUP-229,SUP-229_Global_Products,Germany,70,5,Bronze,contact@sup-229.com,+1-602-837-6249,2025-12-26
SUP-230,SUP-230_Global_Products,Mexico,75,11,Bronze,contact@sup-230.com,+1-638-402-5218,2025-06-24
SUP-231,SUP-231_Global_Products,China,74,8,Bronze,contact@sup-231.com,+1-809-397-8125,2027-01-09
SUP-232,SUP-232_Global_Products,Mexico,97,15,Gold,contact@sup-232.com,+1-525-663-1659,2027-04-19
SUP-233,SUP-233_Global_Products,Germany,95,7,Gold,contact@sup-233.com,+1-710-346-3911,2027-04-09
SUP-234,SUP-234_Global_Products,India,70,12,Bronze,contact@sup-234.com,+1-839-750-3385,2025-11-25
SUP-235,SUP-235_Global_Products,Vietnam,94,6,Gold,contact@sup-235.com,+1-350-614-5061,2026-03-07
SUP-236,SUP-236_Global_Products,Vietnam,97,14,Gold,contact@sup-236.com,+1-823-771-3049,2025-12-05
SUP-237,SUP-237_Global_Products,USA,74,15,Bronze,contact@sup-237.com,+1-208-432-4170,2027-03-20
SUP-238,SUP-238_Global_Products,Vietnam,93,10,Gold,contact@sup-238.com,+1-319-872-2648,2026-08-20
SUP-239,SUP-239_Global_Products,Vietnam,99,7,Gold,contact@sup-239.com,+1-311-709-6592,2027-09-18
SUP-240,SUP-240_Global_Products,China,83,6,Silver,contact@sup-240.com,+1-905-362-1956,2025-04-01
